time,Fx_real,Fy_real,Fz_real,,,
0.001569,0.007804183,0.008016585,-27.11079991,,,
0.003138,0.00583362,-0.010510258,-27.13222254,,,
0.004707,0.04543169,-0.024878014,-27.03922357,,,
0.006276,0.051276654,-0.03089201,-27.103447,,,
0.007845,0.012310231,-0.019317737,-27.09755755,,,
0.009414,0.004450223,0.042325719,-27.09926567,,,
0.010983,0.005722415,0.024283732,-27.09548468,,,
0.012552,0.028408346,-0.090342494,-27.10553766,,,
0.014121,0.068237723,-0.019299944,-27.08400827,,,
0.01569,0.065159554,-0.022751764,-27.17667362,,,
0.017259,-0.00034496,-0.035024408,-27.15612729,,,
0.018828,-0.032016298,0.012051122,-27.17424934,,,
0.020397,0.060173097,-0.047915355,-27.1637382,,,
0.021966,0.077739125,-0.005786247,-27.12184039,,,
0.023535,0.062988821,-0.001022201,-27.06364431,,,
0.025104,-0.030370456,-0.070552355,-27.07434228,,,
0.026673,-0.017933228,0.0371213,-27.09646774,,,
0.028242,-0.00644792,0.016152383,-27.13123059,,,
0.029811,0.036891104,-0.028623417,-27.11261923,,,
0.03138,0.09240936,-0.057981681,-27.10700558,,,
0.032949,0.060604574,-0.028320938,-27.10504836,,,
0.034518,0.005540038,-0.00705399,-27.15938783,,,
0.036087,-0.018800632,-0.01038126,-27.114959,,,
0.037656,0.051463479,0.048940225,-27.09682804,,,
0.039225,0.046970775,-0.012035998,-27.06845284,,,
0.040794,0.013573526,-0.076824348,-27.10508394,,,
0.042363,-0.004548529,0.030239901,-27.09439042,,,
0.043932,-0.006616952,-0.015554542,-27.09708159,,,
0.045501,0.027745561,0.01305642,-27.1235663,,,
0.04707,0.025263453,-0.045112975,-27.08728216,,,
0.048639,0.014049486,-0.068448346,-27.11164952,,,
0.050208,0.020374857,-0.049743574,-27.17887105,,,
0.051777,0.003956471,-0.023054244,-27.21472816,,,
0.053346,0.029333576,0.023816669,-27.17402693,,,
0.054915,0.055609221,0.011415027,-27.1154483,,,
0.056484,0.036339525,-0.017680792,-27.10632945,,,
0.058053,0.01333777,-0.048635967,-27.14315183,,,
0.059622,-0.002182075,0.037481606,-27.091935,,,
0.061191,0.024667391,0.007691865,-27.10668975,,,
0.06276,0.033768453,-0.022217978,-27.10785519,,,
0.064329,0.041397153,-0.051184798,-27.14619441,,,
0.065898,0.041143604,-0.054783409,-27.17171386,,,
0.067467,0.040307339,0.0427483,-27.16587779,,,
0.069036,0.020939781,0.045595162,-27.17024594,,,
0.070605,0.040067135,-0.052537057,-27.13151083,,,
0.072174,0.050613868,-0.101654321,-27.09635208,,,
0.073743,0.056258662,0.006157229,-27.12260994,,,
0.075312,0.009748056,-0.061415708,-27.12560804,,,
0.076881,-0.011114104,0.011268235,-27.13030091,,,
0.07845,0.027763353,-0.009625062,-27.12486519,,,
0.080019,0.079607378,-0.105043866,-27.1135845,,,
0.081588,0.053100424,-0.08584979,-27.15307136,,,
0.083157,0.046966327,0.055479111,-27.15613618,,,
0.084726,-0.007253048,-0.045130768,-27.2215117,,,
0.086295,0.02944923,-0.000902099,-27.15283116,,,
0.087864,0.075786355,-0.044298951,-27.11479886,,,
0.089433,0.052059541,-0.042457387,-27.10829556,,,
0.091002,0.00085606,-0.073439251,-27.1684711,,,
0.092571,0.033105668,0.095197283,-27.13537189,,,
0.09414,0.039057388,0.056889197,-27.09876302,,,
0.095709,0.088010069,-0.092944703,-27.1149412,,,
0.097278,0.081146462,-0.073546008,-27.16820421,,,
0.098847,0.055978424,-0.084893422,-27.17395131,,,
0.100416,-0.005504897,-0.019549045,-27.17333301,,,
0.101985,0.017794889,-0.021977774,-27.16051323,,,
0.103554,0.073188594,-0.055214887,-27.08321204,,,
0.105123,0.121540764,-0.071375276,-27.09336733,,,
0.106692,0.055524705,-0.063559751,-27.10335359,,,
0.108261,-0.010753798,-0.068172557,-27.07207369,,,
0.10983,-0.025455171,-0.051033558,-27.12615072,,,
0.111399,0.085870474,-0.093087046,-27.1147099,,,
0.112968,0.08177811,-0.046789955,-27.13093701,,,
0.114537,0.107613382,-0.056451492,-27.13847674,,,
0.116106,0.028977718,-0.03336967,-27.11886453,,,
0.117675,0.001047334,-0.070094188,-27.1612205,,,
0.119244,0.054296996,-0.053560148,-27.11377577,,,
0.120813,0.11942341,-0.061242227,-27.12129771,,,
0.122382,0.085910508,-0.049881469,-27.11884229,,,
0.123951,0.030957177,0.009035228,-27.13356146,,,
0.12552,0.018270848,-0.040535755,-27.12005221,,,
0.127089,0.069549948,-0.031470279,-27.0989276,,,
0.128658,0.106078745,-0.126168471,-27.09802462,,,
0.130227,0.111114132,-0.063742128,-27.10499053,,,
0.131796,0.087640866,-0.070636871,-27.12780546,,,
0.133365,0.052477673,-0.083332096,-27.14522025,,,
0.134934,0.022007355,-0.037017212,-27.14478432,,,
0.136503,0.065306345,-0.016564288,-27.13013633,,,
0.138072,0.118911865,-0.051718584,-27.09453721,,,
0.139641,0.100398366,-0.079849139,-27.11216106,,,
0.14121,0.057744368,0.039238653,-27.09835823,,,
0.142779,0.003631751,-0.07864367,-27.09610298,,,
0.144348,0.055533602,-0.042292803,-27.16033086,,,
0.145917,0.110091041,-0.139357449,-27.1221918,,,
0.147486,0.136188758,-0.13697765,-27.11947839,,,
0.149055,0.116549859,-0.061042057,-27.13043881,,,
0.150624,0.036179389,-0.081441602,-27.18704243,,,
0.152193,0.02296817,-0.104652423,-27.18695791,,,
0.153762,0.109797459,-0.036007465,-27.15433465,,,
0.155331,0.153879336,-0.079204146,-27.09941246,,,
0.1569,0.073886965,-0.078149918,-27.10037773,,,
0.158469,0.023808884,-0.07121514,-27.10528411,,,
0.160038,0.019476316,-0.059841037,-27.15389873,,,
0.161607,0.094740228,-0.052416955,-27.1626128,,,
0.163176,0.121909966,-0.088398621,-27.14951278,,,
0.164745,0.116621031,-0.080067101,-27.14061634,,,
0.166314,0.110633724,-0.126119541,-27.15461044,,,
0.167883,0.06664526,-0.084203948,-27.15489958,,,
0.169452,0.050378113,-0.134144133,-27.15964583,,,
0.171021,0.087058149,-0.105653273,-27.12776987,,,
0.17259,0.072961734,-0.079075148,-27.08355455,,,
0.174159,0.090354281,-0.091619133,-27.09267785,,,
0.175728,0.066129266,-0.080289513,-27.08309194,,,
0.177297,0.054928644,-0.068621827,-27.12455381,,,
0.178866,0.110010973,-0.085627379,-27.13390842,,,
0.180435,0.101946347,-0.112854944,-27.14175508,,,
0.182004,0.109904216,-0.126684465,-27.20701494,,,
0.183573,0.082236277,-0.079938103,-27.17901784,,,
0.185142,0.083165955,-0.085903168,-27.2092524,,,
0.186711,0.089348983,-0.070476735,-27.17613094,,,
0.18828,0.134542916,-0.127284975,-27.14146595,,,
0.189849,0.106278915,-0.091347792,-27.12545235,,,
0.191418,0.049403952,-0.09733065,-27.13716007,,,
0.192987,0.000798233,-0.075952496,-27.12611958,,,
0.194556,0.118062255,-0.050637666,-27.17550374,,,
0.196125,0.149377735,-0.06491201,-27.18968912,,,
0.197694,0.097631572,-0.094136827,-27.18587699,,,
0.199263,0.080292404,-0.078189952,-27.18695346,,,
0.200832,0.058976525,-0.131933367,-27.190988,,,
0.202401,0.061138361,-0.130710106,-27.18339489,,,
0.20397,0.074976779,-0.067781113,-27.11353112,,,
0.205539,0.100171507,-0.091659167,-27.14457081,,,
0.207108,0.036108217,-0.089617433,-27.13440217,,,
0.208677,0.023097169,-0.07711793,-27.1219605,,,
0.210246,0.012746157,-0.082905067,-27.14989533,,,
0.211815,0.081782558,-0.146781531,-27.17356432,,,
0.213384,0.089415707,-0.098077951,-27.19730003,,,
0.214953,0.102631373,-0.138160877,-27.20801135,,,
0.216522,0.034253309,-0.109082852,-27.21509292,,,
0.218091,0.050564938,-0.137271233,-27.23361976,,,
0.21966,0.058896457,-0.10853572,-27.20128119,,,
0.221229,0.088868575,-0.126448709,-27.15124314,,,
0.222798,0.035285296,-0.085169212,-27.11124473,,,
0.224367,0.012319128,-0.094234688,-27.14372565,,,
0.225936,0.040258408,-0.107957452,-27.16907606,,,
0.227505,0.097280163,-0.123339402,-27.20270907,,,
0.229074,0.113525068,-0.115310362,-27.18364399,,,
0.230643,0.087827691,-0.154890639,-27.21005308,,,
0.232212,0.029418092,-0.122841202,-27.2020018,,,
0.233781,0.075319292,-0.128904128,-27.18375519,,,
0.23535,0.057081583,-0.07196689,-27.1606111,,,
0.236919,0.115219841,-0.086072201,-27.15489068,,,
0.238488,0.112942351,-0.068604034,-27.09253996,,,
0.240057,0.082543204,-0.064022366,-27.11465652,,,
0.241626,0.062072488,-0.051149212,-27.1078196,,,
0.243195,0.067926347,-0.029819989,-27.13538968,,,
0.244764,0.161379038,-0.04982809,-27.12238308,,,
0.246333,0.106781564,-0.054560998,-27.14816497,,,
0.247902,0.101403664,-0.02078565,-27.12591497,,,
0.249471,0.057223926,-0.063897815,-27.15431686,,,
0.25104,0.09438437,-0.060944196,-27.17231882,,,
0.252609,0.158767932,-0.058115127,-27.15952573,,,
0.254178,0.130797513,-0.042662005,-27.1185665,,,
0.255747,0.081769213,-0.083545611,-27.10796639,,,
0.257316,0.060586782,-0.061918357,-27.08882569,,,
0.258885,0.08137777,-0.045384317,-27.13512279,,,
0.260454,0.158799069,-0.074182104,-27.1475956,,,
0.262023,0.148448057,-0.030162502,-27.10609814,,,
0.263592,0.128702401,-0.046131618,-27.13543861,,,
0.265161,0.083641915,-0.068541759,-27.12241866,,,
0.26673,0.068789302,-0.065975135,-27.12360634,,,
0.268299,0.087600832,-0.09267781,-27.08586318,,,
0.269868,0.121451799,-0.120114442,-27.07902626,,,
0.271437,0.120855738,-0.02646603,-27.07714911,,,
0.273006,0.093543656,-0.055539607,-27.06200736,,,
0.274575,0.0392798,-0.043253618,-27.08037407,,,
0.276144,0.051303343,-0.06976502,-27.08347448,,,
0.277713,0.105584993,-0.102188108,-27.09729511,,,
0.279282,0.138630832,-0.085187005,-27.12575483,,,
0.280851,0.079220382,-0.131839954,-27.10876707,,,
0.28242,0.062161452,-0.142751442,-27.11852202,,,
0.283989,0.061098327,-0.101667666,-27.18112185,,,
0.285558,0.096652963,-0.07834564,-27.10509729,,,
0.287127,0.157864943,-0.100911468,-27.10764612,,,
0.288696,0.124369833,-0.0506777,-27.08039186,,,
0.290265,0.058287051,-0.040001968,-27.08479116,,,
0.291834,0.053176044,-0.094421513,-27.1070812,,,
0.293403,0.088628371,-0.119669619,-27.0966946,,,
0.294972,0.123698151,-0.086970742,-27.08563187,,,
0.296541,0.11804891,-0.144428422,-27.14929927,,,
0.29811,0.089046504,-0.119073558,-27.13449114,,,
0.299679,0.038946183,-0.131982297,-27.13397514,,,
0.301248,0.085972783,-0.104981591,-27.12910879,,,
0.302817,0.08940681,-0.09272674,-27.13673749,,,
0.304386,0.109027916,-0.084275119,-27.13691987,,,
0.305955,0.091688748,-0.108451204,-27.09365646,,,
0.307524,0.050858521,-0.057848234,-27.11735659,,,
0.309093,0.074531957,-0.1008314,-27.1717272,,,
0.310662,0.121385076,-0.127685315,-27.20073406,,,
0.312231,0.129120534,-0.112725945,-27.1792447,,,
0.3138,0.109170259,-0.184311178,-27.19141058,,,
0.315369,0.063847328,-0.173915683,-27.22173411,,,
0.316938,0.093597035,-0.106743087,-27.20991519,,,
0.318507,0.11965027,-0.111876335,-27.21194357,,,
0.320076,0.126091295,-0.14463304,-27.17291488,,,
0.321645,0.064011912,-0.058559949,-27.16396505,,,
0.323214,0.053442938,-0.065984031,-27.16852893,,,
0.324783,0.066516261,-0.041585535,-27.18697571,,,
0.326352,0.079754169,-0.082202248,-27.18072151,,,
0.327921,0.145218648,-0.126591052,-27.2076288,,,
0.32949,0.129836697,-0.143129541,-27.20717953,,,
0.331059,0.079198141,-0.03779565,-27.22023061,,,
0.332628,0.041819734,-0.140727501,-27.21779299,,,
0.334197,0.087983379,-0.026630614,-27.19328328,,,
0.335766,0.111816951,-0.081148019,-27.17264354,,,
0.337335,0.101265769,-0.048520313,-27.16199004,,,
0.338904,0.055079883,-0.078425708,-27.13959325,,,
0.340473,0.044684389,-0.122823409,-27.15668332,,,
0.342042,0.04025396,-0.076059254,-27.19268722,,,
0.343611,0.090314247,-0.133432417,-27.20269127,,,
0.34518,0.110602587,-0.105137279,-27.21334476,,,
0.346749,0.134556261,-0.080494131,-27.2123884,,,
0.348318,0.101892969,-0.106018027,-27.19251374,,,
0.349887,0.052740118,-0.144695315,-27.21636955,,,
0.351456,0.081315495,-0.095564706,-27.17940483,,,
0.353025,0.134845395,-0.115470498,-27.18509411,,,
0.354594,0.168820913,-0.07702007,-27.15193261,,,
0.356163,0.04815845,-0.049249821,-27.10560439,,,
0.357732,0.058998766,-0.100978192,-27.1310927,,,
0.359301,0.056125215,-0.090524871,-27.14056296,,,
0.36087,0.115033016,-0.158338011,-27.16988119,,,
0.362439,0.136695855,-0.083901469,-27.17628218,,,
0.364008,0.126082398,-0.082740483,-27.16162529,,,
0.365577,0.082592134,-0.063181652,-27.15006881,,,
0.367146,0.048269656,-0.076357285,-27.15393876,,,
0.368715,0.071658405,-0.046683197,-27.13772944,,,
0.370284,0.12495255,-0.081726288,-27.1479737,,,
0.371853,0.117764224,-0.115581704,-27.05868454,,,
0.373422,0.057219478,-0.022008911,-27.05107364,,,
0.374991,0.042691586,-0.076802107,-27.11882005,,,
0.37656,0.114285714,-0.049943744,-27.13279192,,,
0.378129,0.105709543,-0.140069164,-27.10789522,,,
0.379698,0.120953599,-0.083963744,-27.16645161,,,
0.381267,0.100020267,-0.08662378,-27.17102438,,,
0.382836,0.059803895,-0.088265174,-27.13791627,,,
0.384405,0.047117566,-0.111573856,-27.15426348,,,
0.385974,0.094918157,-0.070934902,-27.14862314,,,
0.387543,0.12150073,-0.125198759,-27.07305675,,,
0.389112,0.097053303,-0.059316147,-27.08854546,,,
0.390681,0.025423589,-0.060032311,-27.08270494,,,
0.39225,0.061552046,-0.091281068,-27.10378506,,,
0.393819,0.094032961,-0.048106628,-27.13528292,,,
0.395388,0.10676822,-0.103882881,-27.1328453,,,
0.396957,0.057174996,-0.122600998,-27.13153752,,,
0.398526,0.050903003,-0.083265373,-27.15052253,,,
0.400095,0.071155756,-0.074026416,-27.14968626,,,
0.401664,0.106505774,-0.126715603,-27.11644025,,,
0.403233,0.092302603,-0.078803806,-27.08164626,,,
0.404802,0.074380717,-0.065984031,-27.08782929,,,
0.406371,0.047798144,-0.006675891,-27.09562258,,,
0.40794,0.030361115,-0.115768529,-27.10107165,,,
0.409509,0.053767658,-0.045112975,-27.13029646,,,
0.411078,0.099295207,-0.123997739,-27.15301798,,,
0.412647,0.129632079,-0.091761476,-27.15762634,,,
0.414216,0.096301554,-0.04865376,-27.15780427,,,
0.415785,0.042762757,-0.125928267,-27.18998715,,,
0.417354,0.067139012,-0.097735438,-27.17403583,,,
0.418923,0.105318099,-0.112334502,-27.11340212,,,
0.420492,0.09321004,-0.119709653,-27.13587453,,,
0.422061,0.066938842,-0.090747282,-27.14488663,,,
0.42363,0.043986018,-0.089492883,-27.11811279,,,
0.425199,0.016682833,-0.013503912,-27.14869431,,,
0.426768,0.082396413,-0.079017321,-27.12696919,,,
0.428337,0.137363089,-0.02776491,-27.14538483,,,
0.429906,0.102751475,-0.059035909,-27.14444626,,,
0.431475,0.067712833,-0.053382219,-27.1322092,,,
0.433044,0.027305187,-0.06358644,-27.17000129,,,
0.434613,0.062939891,-0.094964196,-27.1492103,,,
0.436182,0.110780516,-0.063906712,-27.1632311,,,
0.437751,0.134551812,-0.12192042,-27.12410009,,,
0.43932,0.07434958,-0.085872031,-27.11392256,,,
0.440889,0.05626311,-0.027413501,-27.12786774,,,
0.442458,0.071182446,-0.030589531,-27.1029488,,,
0.444027,0.115984935,-0.037728927,-27.11709859,,,
0.445596,0.086742325,-0.066500025,-27.16077568,,,
0.447165,0.0771742,-0.124166772,-27.148334,,,
0.448734,0.054101274,-0.094083448,-27.1849829,,,
0.450303,0.045587378,-0.044730428,-27.18021886,,,
0.451872,0.098490079,-0.078038712,-27.14897455,,,
0.453441,0.140378983,-0.078060953,-27.10409199,,,
0.45501,0.066320539,-0.062065148,-27.11251247,,,
0.456579,0.045253761,-0.029539751,-27.13625263,,,
0.458148,0.045591826,-0.012076032,-27.12839707,,,
0.459717,0.076858377,-0.039944141,-27.10942096,,,
0.461286,0.125143824,-0.091321102,-27.14208425,,,
0.462855,0.112310704,-0.067073846,-27.13336574,,,
0.464424,0.087458489,-0.119829755,-27.13542971,,,
0.465993,0.047326633,-0.10183225,-27.17226099,,,
0.467562,0.047562388,-0.087735836,-27.11792151,,,
0.469131,0.077378819,-0.066731333,-27.11490117,,,
0.4707,0.145832503,-0.089016924,-27.12068386,,,
0.472269,0.085634718,-0.027658153,-27.09425252,,,
0.473838,0.054110171,-0.092433158,-27.1054398,,,
0.475407,0.016807383,-0.057181001,-27.11336653,,,
0.476976,0.088450443,-0.066922606,-27.09952367,,,
